recipient_parent_name,top_words_from_serv_desc,number_of_prime_awards,current_total_value_of_awards_USD,potential_total_value_of_awards,first_contract_start_date,last_contract_end_date,recipient_address_line_1,recipient_address_line_2,recipient_city_name,recipient_state_code,recipient_state_name,recipient_zip_4_code,recipient_congressional_district,recipient_phone_number,recipient_fax_number,analysis_date,raw_data_download_date
PHILADELPHIA PROTECTION BUREAU  INC.,"installation, equipment, miscellaneous",0,,,2014-09-22 00:00:00.000000,2014-10-22 00:00:00.000000,197 PHILIPS RD,,EXTON,PA,,193411337,PA06,6109034908,6109034915,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
PR HOTEL  LLC,"facilities, operations, support, svcs, housekeeping",0,,,2011-08-08 00:00:00.000000,2011-09-08 00:00:00.000000,10600 E CRESCENT MOON DR,,SCOTTSDALE,AZ,,852628342,AZ05,4805135024.0,4805155599.0,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
INTER-PACIFIC  INC.,"public, address, intercomm, sys, ex",0,,,2010-09-22 00:00:00.000000,2014-08-10 00:00:00.000000,1278 BARCLAY BLVD,,BUFFALO GROVE,IL,ILLINOIS,600894500,10.0,8478082100,8478082103,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
S. S. P. INC.,"cabinets, lockers, bins, &, shelving",0,,,2011-03-07 00:00:00.000000,2011-04-30 00:00:00.000000,2895 S 300 W,,SALT LAKE CITY,UT,,841153435,UT02,8009520151,8014930158,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
COUNTY OF EAGLE,"guard, services",0,,,2010-03-02 00:00:00.000000,2011-03-01 00:00:00.000000,500 BROADWAY,,EAGLE,CO,,816310850,CO02,9703288613.0,9703288629.0,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
VALLEY DISTRIBUTORS INC,"toiletry, paper, products",0,,,2010-06-24 00:00:00.000000,2010-07-22 00:00:00.000000,182 RIDGE RD STE C,,DAYTON,NJ,,088101594,NJ12,7035278824.0,7323291034.0,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
WILLIAM RODRIGUEZ CORTES,"vehicles,, maint, repair, rebuild, equipment",0,,,2012-06-19 00:00:00.000000,2012-07-09 00:00:00.000000,BO BUCARABONES CARR 819 KM 1 HM 1,CALLE 14,TOA ALTA,PR,,009535226,PR00,7876458212,7877802332,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
RYCOM INC,"wire, cable,, cord,, assemblies:, communication",0,,,2010-08-23 00:00:00.000000,2012-12-21 00:00:00.000000,9805 LAKE GEORGIA DR FL 2,,ORLANDO,FL,FLORIDA,32817,,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
CHOICE SHEETMETAL LLC,"maintenance, administrative, facilities, service, buildings",0,,,2015-12-04 00:00:00.000000,2016-01-09 00:00:00.000000,94-058 LEOKANE ST,,WAIPAHU,HI,HAWAII,967972206,1.0,8086713422,8086775422,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
AGILENT TECHNOLOGIES  INC.,"equipment, maint, repair, rebuild, adp",0,,,2012-07-03 00:00:00.000000,2017-07-14 00:00:00.000000,5301 STEVENS CREEK BLVD,,SANTA CLARA,CA,,950517201,CA17,8008294444,8008294433,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
GC&E SYSTEMS GROUP  INC.,"installation, equipment, alarm,, signal,, security",0,,,2011-06-14 00:00:00.000000,2011-07-14 00:00:00.000000,5835 PEACHTREE CORNERS E STE A,,NORCROSS,GA,,300923413,GA07,7704483908,7704483918,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
LMC COMPLETE AUTOMOTIVE  INC,"maint, rep, vehicles, trailers, cyc",0,,,2009-12-11 00:00:00.000000,2010-01-11 00:00:00.000000,23018 ALDINE WESTFIELD RD,,SPRING,TX,,773736561,TX02,2816517766.0,2816510966.0,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
COUNTY OF SENECA,"guard, housekeeping, services",0,,,2010-04-29 00:00:00.000000,2018-06-30 00:00:00.000000,1 DIPRONIO DR,,WATERLOO,NY,NEW YORK,131651680,23.0,3155391705,3155391635,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
INTERIOR RESOURCE GROUP INC,"office, furniture",0,,,2010-09-27 00:00:00.000000,2016-11-20 00:00:00.000000,11095 HIDDEN TRAIL DR,,OWINGS MILLS,MD,MARYLAND,211172357,3.0,4106543611,4106543613,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
BRIX CORPORATION,"maint, rep, alt, office, bldgs",0,,,2011-04-06 00:00:00.000000,2013-06-30 00:00:00.000000,2990 W GRAND BLVD STE M17,,DETROIT,MI,,482023041,MI13,3139650000,3139650253,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
INDEPENDENT STATIONERS INC,"toiletry, paper, products",0,,,2011-08-18 00:00:00.000000,2013-08-31 00:00:00.000000,250 E 96TH ST STE 510,,INDIANAPOLIS,IN,,462403730,IN05,3178459155.0,3175858762.0,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
AUTO TRUCK  INC.,"install, vehicular, eq",0,,,2010-08-26 00:00:00.000000,2010-10-10 00:00:00.000000,1420 BREWSTER CREEK BLVD,,BARTLETT,IL,,601031695,IL14,6308605600,6308605631,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
ALPHA SUM BUSINESS MACHINES,"office, supplies, miscellaneous, machines, furniture",0,,,2010-09-28 00:00:00.000000,2011-10-11 00:00:00.000000,3327 91ST ST,,JACKSON HEIGHTS,NY,,113721748,NY07,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
CROSSROADS DIVERSIFIED SERVICES  INC.,"housekeeping, custodial, janitorial",0,,,2013-04-01 00:00:00.000000,2013-09-30 00:00:00.000000,9300 TECH CENTER DR STE 100,,SACRAMENTO,CA,,958262590,CA07,9168702055,91654685159,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
NAFSA ASSOCIATION OF INTERNATIONAL EDUCATORS,"lease, space, rental, conference, facilities",0,,,2011-05-30 00:00:00.000000,2013-05-31 00:00:00.000000,1307 NEW YORK AVE NW FL 8,,WASHINGTON,DC,,200054704,DC00,2027373699,2027373657,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
COUNTY OF GRANT,"guard, services, housekeeping",0,,,2010-09-15 00:00:00.000000,2012-09-14 00:00:00.000000,205 S HUMBOLT,,CANYON CITY,OR,,978206115,OR02,5415751798.0,5415752248.0,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
A C.H. COAKLEY & CO.  INC.,"transportation, travel, relocation, transportation:, motor",0,,,2014-06-12 00:00:00.000000,2014-07-25 00:00:00.000000,2151 N DOCTOR MARTIN LUTHER KING DR,,MILWAUKEE,WI,,532123101,WI04,4143727000,4143727004,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
COUNTY OF LAKE,"guard, services",0,,,2010-01-15 00:00:00.000000,2011-12-31 00:00:00.000000,106 4TH AVE E,,POLSON,MT,,598602133,MT00,4068837279,4068837305,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
KIMBER MFG.  INC.,"safety, rescue, equipment",0,,,2010-06-15 00:00:00.000000,2010-08-06 00:00:00.000000,1 LAWTON ST,,YONKERS,NY,,107052617,NY17,9149640771.0,9149649340.0,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
CROSSTOWN COURIER SERVICE  INC.,"courier, messenger, support, administrative:, services",0,,,2010-08-18 00:00:00.000000,2016-01-17 00:00:00.000000,165 FRONT ST,,CHICOPEE,MA,MASSACHUSETTS,010132869,1.0,4135947900,4135946107,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
PIONEER & CO (INC),"miscellaneous, items, optical, sighting, &",0,,,2010-06-07 00:00:00.000000,2011-04-14 00:00:00.000000,97 FOSTER RD STE 5,,MOORESTOWN,NJ,,080571154,NJ03,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
FISHER HAWAII INC.,"cabinets,, lockers,, bins,, shelving",0,,,2014-05-12 00:00:00.000000,2014-06-12 00:00:00.000000,450 COOKE ST,,HONOLULU,HI,,968135321,HI01,8085248770,8086875239,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
TRUHART SYSTEMS INTERNATIONAL  L.L.C.,"facilities, operations, support, svcs",0,,,2011-07-22 00:00:00.000000,2008-06-30 00:00:00.000000,8070 GEORGIA AVE STE #311,,SILVER SPRING,MD,,209104977,MD08,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
ALL FOAM PRODUCTS  CO.,"toilet, soap,, shaving, preparations,, dentifrices",0,,,2013-03-14 00:00:00.000000,2008-05-16 00:00:00.000000,2546 LIVE OAK LN,,BUFFALO GROVE,IL,,600894609,IL10,8479139341,8479130731,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
COMPREHENSIVE HEALTH SERVICES  INC.,"medical, services",0,,,2010-04-01 00:00:00.000000,2012-06-19 00:00:00.000000,10701 PARKRIDGE BLVD STE 200,,RESTON,VA,,201914357,VA08,3217832720,3217831440,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
CARPET PLUS  LLC,"floor, coverings",0,,,2012-08-27 00:00:00.000000,2012-11-15 00:00:00.000000,801 WINCREST PL,,GREAT FALLS,VA,,220661628,VA10,7037577605.0,7037577606.0,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
"ELLENBERG, MARTIN ESQ","support, professional:, legal, program, management",0,,,2011-01-13 00:00:00.000000,2015-01-12 00:00:00.000000,244 ALBEMARLE RD,,WHITE PLAINS,NY,NEW YORK,10605,,9149464927,9149461266,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
DTRS ST. FRANCIS  L.L.C.,"lease, rent, conf, space, &",0,,,2016-11-03 15:09:49.000000,2011-06-23 00:00:00.000000,335 POWELL ST,,SAN FRANCISCO,CA,CALIFORNIA,941021804,12.0,4157740210,4154036884,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
LYMAN PRODUCTS CORPORATION,"safety, rescue, equipment",0,,,2010-05-04 00:00:00.000000,2011-12-26 00:00:00.000000,475 SMITH ST,,MIDDLETOWN,CT,,064571529,CT03,8606322020.0,8606321699.0,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
GLOBAL TOTAL OFFICE SOLUTIONS  INC,"office, furniture",0,,,2012-09-19 00:00:00.000000,2012-10-19 00:00:00.000000,3850 GLADERIDGE DR # A,,HOUSTON,TX,TEXAS,770682421,18.0,2816310763,2814409738,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
THE ACADEMY OF SOUTH FLORIDA INC,"training, information, education, technology, telecommunications",0,,,2010-06-08 00:00:00.000000,2012-06-25 00:00:00.000000,3100 S DIXIE HWY STE 100,,MIAMI,FL,,331333606,FL18,3056482000,3056482012,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
BLACKWATER TARGET SYSTEMS LLC,"maint, rep, alt, admin, bldgs",0,,,2010-07-21 00:00:00.000000,2010-07-21 00:00:00.000000,850 PUDDIN RIDGE RD,,MOYOCK,NC,,279588679,NC03,2524350098,2524356388,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
W D I COMPANIES  INC,"installation, equipment, miscellaneous",0,,,2016-07-12 09:28:05.000000,2016-08-11 00:00:00.000000,2627 KILIHAU ST,,HONOLULU,HI,HAWAII,968192336,1.0,8088330693,8088336751,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
FRONT STREET DEVELOPMENT ASSOCIATES LIMI,"lease, rent, parking, facilities",0,,,2013-03-07 00:00:00.000000,2013-09-30 00:00:00.000000,111 S INDEPENDENCE MALL E # 100,,PHILADELPHIA,PA,,191062515,PA01,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
TEAM FOUR INC,"architect, engineering, general:, landscaping,, interior",0,,,2011-06-23 00:00:00.000000,2013-12-31 00:00:00.000000,14 N NEWSTEAD AVE,,SAINT LOUIS,MO,,631082208,MO01,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
HARRISON EQUIPMENT COMPANY  INC.,"cabinets,, lockers,, bins,, shelving",0,,,2012-11-21 00:00:00.000000,2012-11-21 00:00:00.000000,8230 S 192 ST,,KENT,WA,,980321195,WA09,4252515700,4252519572,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
ALWAYS PROFESSIONAL MOVING,"housekeeping, warehousing, storage",0,,,2016-12-29 00:00:00.000000,2017-02-28 00:00:00.000000,815 ELIZABETH AVE,,ELIZABETH,NJ,NEW JERSEY,072012749,8.0,9084098555,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
INTER-COUNTY COMMUNICATIONS  INC.,"radio, tv, eq, except, airborne",0,,,2010-09-15 00:00:00.000000,2010-12-01 00:00:00.000000,222 LINDA DR,,SULPHUR SPRINGS,TX,,754824355,TX04,9038853101,9038853102,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
COUNTY OF OTSEGO,"guard, housekeeping, services",0,,,2011-03-09 00:00:00.000000,2014-03-12 00:00:00.000000,197 MAIN ST,,COOPERSTOWN,NY,,133261128,NY19,6075442600,6075442716,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
ILM CORPORATION OF VIRGINIA  INC,"support, administrative, svcs, administrative:",0,,,2010-05-19 00:00:00.000000,2011-12-31 00:00:00.000000,216 INDUSTRIAL CT,,FREDERICKSBURG,VA,,224082442,VA01,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
KING STREET STATION HOTEL ASSOCIATES LP,"lease, rent, oth, non, bldg",0,,,2011-01-14 00:00:00.000000,2011-02-25 00:00:00.000000,1900 DIAGONAL RD,,ALEXANDRIA,VA,,223142810,VA08,7036845900,7036840653,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
CAR MEDICS BODY SHOP ACC INC,"vehicles,, maint, repair, rebuild, equipment",0,,,2012-10-23 00:00:00.000000,2008-06-13 00:00:00.000000,4105 N 21ST ST,,PHOENIX,AZ,,850166170,AZ03,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
TIERNEY BROTHERS  INC.,"radio, tv, eq, except, airborne",0,,,2011-01-07 00:00:00.000000,2011-09-07 00:00:00.000000,3300 UNIVERSITY AVE SE,,MINNEAPOLIS,MN,,554143326,MN05,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
TECHNOSOURCE INFORMATION SYSTEMS  LLC,"video, recording, reproducing, equipment",0,,,2012-05-08 00:00:00.000000,2012-06-08 00:00:00.000000,1717 K ST NW STE 600,,WASHINGTON,DC,,200365346,DC00,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
LDV  INC.,trailers,0,,,2011-09-26 00:00:00.000000,2012-10-11 00:00:00.000000,180 INDUSTRIAL DR,,BURLINGTON,WI,,531052307,WI01,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
WATERS MOVING & STORAGE  INC.,"relocation, transportation, travel, relocation:",0,,,2013-04-01 00:00:00.000000,2013-06-30 00:00:00.000000,37 BRIDGEHEAD RD,,MARTINEZ,CA,,945531122,CA05,9253720914,9252287831,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
DUBOIS CONSTRUCTION  INC.,"office, maintenance, buildings, maint, rep",0,,,2009-10-07 00:00:00.000000,2014-10-10 00:00:00.000000,51 BRINKWOOD RD,,BROOKEVILLE,MD,,208332300,MD03,3017747643,3015708087,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
CARIBBEAN CONSOLIDATED SCHOOLS INC,"education, training, general, technical, assistance",0,,,2011-10-24 00:00:00.000000,2013-01-17 00:00:00.000000,CALLE CASTILLO,,SAN JUAN,PR,PUERTO RICO,00918,,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
BONNIN ELECTRONICS INC.,"communications, security, equipment, components",0,,,2015-09-22 00:00:00.000000,2015-11-22 00:00:00.000000,617 CALLE HIPODROMO,,SAN JUAN,PR,PUERTO RICO,00909,,7877254765,7877250840,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
BALDWIN SCHOOL OF PUERTO RICO INC  THE,"technical, assistance",0,,,2011-10-25 00:00:00.000000,2011-11-04 00:00:00.000000,RD 833 LOS FILTROS KM 13 HM 1,,GUAYNABO,PR,,009690000,PR00,7877202421.0,7877900619.0,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
CUPEYVILLE SCHOOL INC,"education, training, tuition, registration, membership",0,,,2013-01-18 00:00:00.000000,2013-01-18 00:00:00.000000,RD 844 KM 0.4 CUPEY BAJO,,SAN JUAN,PR,,009260000,PR00,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
AUDAX GROUP  L.P.,"office, furniture",0,,,2009-10-15 00:00:00.000000,2007-07-17 00:00:00.000000,4 BONAZZOLI AVE,,HUDSON,MA,,017492849,MA05,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
550 CORPORATE CENTER INVESTMENT GROUP INC,"lease, rental, office, buildings",0,,,2011-04-15 00:00:00.000000,2011-08-15 00:00:00.000000,550 W C ST # 690,,SAN DIEGO,CA,,921013531,CA53,6196968310,6192322462,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
FOUR POINTS COMMUNICATION SERVICES  INC.,"telecom, teleprocessing,, timeshare,, cloud, computing",0,,,2013-04-17 00:00:00.000000,2009-09-22 00:00:00.000000,30 GERBER INDUSTRIAL DR,,SAINT PETERS,MO,,633761075,MO03,6362783727,6363973050,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
"QUALITY ELECTRIC SUPPLY, INC.","generators, generator, sets,, electrical",0,,,2014-09-02 00:00:00.000000,2015-01-31 00:00:00.000000,6703 PETERS REST ST CROIX,,CHRISTIANSTED,VI,VIRGIN ISLANDS,00820,,3407734630,3407787653,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
WIMAT ENTERPRISES INC,trailers,0,,,2011-09-09 00:00:00.000000,2011-10-09 00:00:00.000000,"CARR 2 KM 6.2 ,#233 VILLA CAPARRA",,GUAYNABO,PR,PUERTO RICO,00966,,7877818055.0,7877821065.0,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
TACTICAL COMMAND INDUSTRIES  INC,"headset,handset,microphone, &, speak, equipment, communications",0,,,2010-09-16 00:00:00.000000,2013-10-24 00:00:00.000000,2101 W 10TH ST STE G,,ANTIOCH,CA,,945097909,CA11,6034188705,8662559414,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
PHASE ONE CONSULTING GROUP  INC.,"professional, services",0,,,2010-05-26 00:00:00.000000,2011-07-15 00:00:00.000000,700 N FAIRFAX ST STE 505,,ALEXANDRIA,VA,,223141749,VA08,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
CRYSTAL DIGITAL COMMUNICATIONS  INC.,"navigational, instruments",0,,,2010-09-28 00:00:00.000000,2010-11-05 00:00:00.000000,410 CENTRAL AVE,,BUTNER,NC,,275091916,NC13,9195754600.0,9195754633.0,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
GLASSTRA ALUMINUM INC,"glass, fabricated, materials",0,,,2013-05-21 00:00:00.000000,2013-08-02 00:00:00.000000,4 ST A7 LAS PALMS INDUSTRIAL,,CATANO,PR,,009620000,PR00,7877885658,7877885070,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
GARCIA TRUCKING SERVICES INC,"transportation, travel, relocation, other:",0,,,2013-01-29 00:00:00.000000,2008-09-04 00:00:00.000000,24B RES SABANA ABAJO,,CAROLINA,PR,,009823717,PR00,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
DORADO ACADEMY INC,"education, training, tuition, registration, membership",0,,,2011-09-29 00:00:00.000000,2013-01-28 00:00:00.000000,606 MADRE PERLA ST DORADO DEL MAR,,DORADO,PR,,006460000,PR00,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
"YANCY & ASSOCIATES, INC.","adp, software",0,,,2015-09-26 00:00:00.000000,2015-10-26 00:00:00.000000,840 FIRST ST NE FL 3,,WASHINGTON,DC,DISTRICT OF COLUMBIA,20002,,2022485067,2027159815,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
MULTIVENTAS Y SERVICIOS PR INC.,"batteries,, rechargeable",0,,,2014-03-06 00:00:00.000000,2014-04-07 00:00:00.000000,VILLA BLANCA IND PARK AVE SAKURA LOTE #16,,CAGUAS,PR,,00725,PR00,7877047100,7877047108,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
VEHTECH  INC.,"equipment, maint, repair, rebuild, office",0,,,2012-07-23 00:00:00.000000,2019-09-26 00:00:00.000000,140 BARCELONA DRIVE,,COVINGTON,GA,GEORGIA,300166526,4.0,7707882032,7707882436,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
FLIR SYSTEMS  INC.,"maint, rep, alarm, &, signal",0,,,2009-04-08 00:00:00.000000,2020-09-30 00:00:00.000000,1024 S INNOVATION WAY,,STILLWATER,OK,OKLAHOMA,740741508,3.0,7036782111,7036782112,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
ROBLES AND SONS  INC.,"construction, office, buildings",0,,,2010-08-26 00:00:00.000000,2011-11-30 00:00:00.000000,750 N MAIN ST,,CIBOLO,TX,,781083614,TX28,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
,"armament, training, devices",0,,,2014-07-09 00:00:00.000000,2014-08-20 00:00:00.000000,2220 CENTRE PARK CT,,STONE MOUNTAIN,GA,GEORGIA,300873544,4.0,7708793500,7708793511,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
TAYLOR ENTERPRISES  LLC,"maint, rep, alt, office, bldgs",0,,,2010-11-01 00:00:00.000000,2011-03-15 00:00:00.000000,2462 W PEMBROKE AVE,,HAMPTON,VA,,236611708,VA03,7577235151,7577236711,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
INTERNATIONAL ASSOCIATION OF FINANCIAL CRIMES INVESTIGATORS,"tuition, fees, education, training, registration",0,,,2010-03-30 00:00:00.000000,2014-09-28 00:00:00.000000,1020 SUNCAST LN STE 102,,EL DORADO HILLS,CA,,957629335,CA04,9169395000,9169390395,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
GIT SATELLITE  LLC,"equipment, telephone, telegraph, miscellaneous, communication",0,,,2012-08-02 00:00:00.000000,2013-11-19 00:00:00.000000,13740 RESEARCH BLVD STE Q2,,AUSTIN,TX,,787501835,TX31,5129189502,5123086740,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
DAKOTA SECURITY SYSTEMS INC.,"installation, equipment, alarm,, signal,, security",0,,,2013-05-21 00:00:00.000000,2014-01-31 00:00:00.000000,2201 E 54TH ST N,,SIOUX FALLS,SD,,571045543,SD00,6052717000,6052717001,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
IDEAL SYSTEM SOLUTIONS  INC.,"adp, software, components, input, output",0,,,2011-03-02 00:00:00.000000,2015-09-26 00:00:00.000000,5610 ROWLAND RD STE 150,,MINNETONKA,MN,,553438982,MN03,2185688898,2185687781,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
AMER TECHNOLOGY  INC.,"services, (operational)",0,,,2007-09-29 00:00:00.000000,2007-09-30 00:00:00.000000,6502 BANDERA RD STE 105,,SAN ANTONIO,TX,,782388144,TX00,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
H-S PRECISION INC,"specialized, ammunition, handling, servicing, equipment",0,,,2013-03-07 00:00:00.000000,2013-10-31 00:00:00.000000,1301 TURBINE DR,,RAPID CITY,SD,,577034741,SD00,6053413006,6053428964,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
TELESTAR INTERNATIONAL CORP.,"photographic, projection, equipment",0,,,2016-11-08 11:48:09.000000,2012-05-24 00:00:00.000000,1461 S BALBOA AVE,,ONTARIO,CA,CALIFORNIA,917617609,35.0,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
ASSOCIATION OF ENERGY ENGINEERS  INC.  THE,"scientific, management, education",0,,,2011-08-30 00:00:00.000000,2011-09-16 00:00:00.000000,4025 PLEASANTDALE RD STE 420,,ATLANTA,GA,,303404264,GA04,7704475083.0,7704463969.0,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
BAY AREA REPORTING  INC,"support, administrative:, court, reporting",0,,,2012-06-01 00:00:00.000000,2016-04-27 00:00:00.000000,238 E DAVIS BLVD STE 202,,TAMPA,FL,FLORIDA,336063756,14.0,8132297207,8132543624,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
THOMAS  S.J. COMPANY  INC.,"maint, rep, alt, office, bldgs",0,,,2010-10-08 00:00:00.000000,2012-01-31 00:00:00.000000,140 BARTRAM AVE,,LANSDOWNE,PA,,190502906,PA07,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
CITY OF HAVRE DE GRACE,"miscellaneous, weapons, quality, control, training",0,,,2010-03-25 00:00:00.000000,2018-07-31 00:00:00.000000,715 PENNINGTON AVE,,HAVRE DE GRACE,MD,MARYLAND,21078,,4109391800,4109394948,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
GLOBAFONE  INC.,"telephone, telegraph, equipment",0,,,2011-09-16 00:00:00.000000,2011-10-15 00:00:00.000000,1950 LAFAYETTE RD STE 107,,PORTSMOUTH,NH,,038012899,NH01,6034337232.0,6034368152.0,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
IFE GROUP,"equipment, refrigeration, kitchen, appliances, installation",0,,,2011-07-13 00:00:00.000000,2012-10-01 00:00:00.000000,2658 DELMAR HTS RD 204,,DEL MAR,CA,,92014,CA50,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
AFFAITATI   LLC,"lease, rental, office, buildings",0,,,2012-05-09 00:00:00.000000,2012-09-30 00:00:00.000000,393 ATHOL ST STE 2,,SAN BERNARDINO,CA,,924011908,CA43,9098890131,9093813881,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
TELECOM MEDIA GROUP,"telephone, telegraph, equipment",0,,,2017-05-12 00:00:00.000000,2017-05-15 00:00:00.000000,256 CALLE TABONUCO A9,,GUAYNABO,PR,PUERTO RICO,009680000,,7875743322,7877623905,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
"CBC COMPANIES, INC.","credit, reporting, support, administrative:, services",0,,,2011-08-19 00:00:00.000000,2016-06-30 00:00:00.000000,8 GATEWAY CENTER,,PITTSBURGH,PA,PENNSYLVANIA,15220,,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
LOUIS PROVENZANO  INC,"lease, rent, parking, facilities",0,,,2010-06-01 00:00:00.000000,2010-12-31 00:00:00.000000,24 LEONARD ST,,NEW YORK,NY,,100132906,NY08,2122267602,2129411567,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
SHRED THIS INC,"support, administrative:",0,,,2015-06-08 00:00:00.000000,2020-08-31 00:00:00.000000,472 MEADOWLAND DRIVE UNIT 1,,SOUTH BURLINGTON,VT,VERMONT,054035969,0.0,8028633003,8028633311,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
COMTECH LLC,"telecom, business, continuity",0,,,2013-09-03 00:00:00.000000,2014-09-04 00:00:00.000000,950 HERNDON PKWY STE 280,,HERNDON,VA,,201705537,VA11,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
