recipient_parent_name,number_of_prime_awards,current_total_value_of_awards_USD,potential_total_value_of_awards,first_contract_start_date,last_contract_end_date,recipient_address_line_1,recipient_address_line_2,recipient_city_name,recipient_state_code,recipient_state_name,recipient_zip_4_code,recipient_congressional_district,recipient_phone_number,recipient_fax_number
ZAYO PROFESSIONAL SERVICES  LLC,0,,,2013-09-21 00:00:00,2017-09-29 00:00:00,950 HERNDON PKWY STE 260,,HERNDON,VA,VIRGINIA,201705537,11.0,5712876995,7034351193
OCCUPATIONS  INC.,0,,,2013-09-12 00:00:00,2018-08-31 00:00:00,15 FORTUNE RD W,,MIDDLETOWN,NY,,109411625,NY18,8456924454,8456925004
SECURADYNE SYSTEMS INTERMEDIATE LLC,0,,,2016-11-21 17:41:09,2016-12-21 00:00:00,1502 N 9TH AVE,,PENSACOLA,FL,FLORIDA,325035520,1.0,4693106155,
AEROSTAR AIRPORT HOLDINGS  LLC,0,,,2014-03-19 00:00:00,2014-12-31 00:00:00,1519 AVE PONCE DE LEON,,SAN JUAN,PR,,009091732,PR00,7872897240,7872897241
HAMORS INTERGRATED SERVICES LIMITED,0,,,2013-09-13 00:00:00,2014-09-17 00:00:00,4915 SPINAKKER DR,,FORT LAUDERDALE,FL,,333125229,FL23,9542052618,9542052618
DAWSON FEDERAL  INC.,0,,,2015-03-06 00:00:00,2015-06-12 00:00:00,16018 VIA SHAVANO,,SAN ANTONIO,TX,,782492368,TX20,2108078655,8303319689
SOUTHLAND AUTO BODY,0,,,2013-04-30 00:00:00,2009-03-20 00:00:00,141 W 18TH ST,,NATIONAL CITY,CA,,919505522,CA51,6194747025,6194776220
PURCHASERS CHOICE INC.,0,,,2014-01-27 00:00:00,2014-02-26 00:00:00,1313 N. GRAND AVE STE 366,,WALNUT,CA,,917891317,CA39,9099079257,9099923377
"LONE STAR ARMORY, INC.",0,,,2014-08-25 00:00:00,2019-08-31 00:00:00,RAMAL 22 BO PALMAS,,CATANO,PR,PUERTO RICO,00962,,7876332730,7877861077
ZING INCORPORATED,0,,,2013-09-09 00:00:00,2018-09-15 00:00:00,6131 MERIDIAN LN,,MONTGOMERY,AL,,361172707,AL02,3342948179,3344607800
SAIC GEMINI  INC.,0,,,2011-09-28 00:00:00,2012-12-31 00:00:00,1710 SAIC DR,,MCLEAN,VA,,221023702,VA08,7036765681,7036765063
OXYGEN FORENSICS INC.,0,,,2017-03-03 00:00:00,2018-09-29 00:00:00,901 N PITT ST STE 320,,ALEXANDRIA,VA,VIRGINIA,223141561,8.0,8779699436,
BRADSHAW  VIOLA,0,,,2015-09-24 00:00:00,2015-11-23 00:00:00,5501 SEMINARY RD STE 807 S,,FALLS CHURCH,VA,VIRGINIA,220413905,8.0,5712745244,2525412241
BAE SYSTEMS AEROSPACE & DEFENSE GROUP INC.,0,,,2014-07-01 00:00:00,2010-12-13 00:00:00,7822 S 46TH ST,,PHOENIX,AZ,,850445313,AZ07,6026437294,6026437594
LAPLACE LANDSCAPING AND MAINTENANCE,0,,,2013-09-03 00:00:00,2016-09-08 00:00:00,AGNES FANCY 5D,,ST THOMAS,VI,,00803,VI00,3404736725,
COOK & BOARDMAN GROUP  LLC  THE,0,,,2015-09-28 00:00:00,2016-07-22 00:00:00,6295 EDSALL RD STE 80,,ALEXANDRIA,VA,VIRGINIA,223122670,8.0,7034618282,7034613431
ASPEN ATHLETIC CLUBS  L.L.C.,0,,,2013-09-27 00:00:00,2017-08-31 00:00:00,10930 HICKMAN RD,,CLIVE,IA,,503253738,IA03,5152782582,
HILTON HOTELS CORPORATION,0,,,2015-10-22 00:00:00,2015-10-22 00:00:00,720 S MICHIGAN AVE FL 4,,CHICAGO,IL,ILLINOIS,606052116,7.0,3126636536,3124316911
ERGOGENESIS  LLC,0,,,2014-06-02 00:00:00,2014-08-01 00:00:00,1 BODYBILT PL,,NAVASOTA,TX,TEXAS,77868,,8003645299,9368251725
MOBILE HEALTHCARE FACILITIES LLC,0,,,2014-08-14 00:00:00,2016-07-16 00:00:00,5601 MAXON MARSH DRIVE,,HIRAM,GA,GEORGIA,301412880,11.0,6782324316,
RONSONS SDVOSB P&L JV-1,0,,,2015-10-07 00:00:00,2016-02-12 00:00:00,785 SE BAYSHORE RD 103,,OAK HARBOR,WA,WASHINGTON,982773275,2.0,3606826287,
POWER 4 U  INC.,0,,,2014-06-12 00:00:00,2014-07-11 00:00:00,119 S EMERSON ST #243,,MOUNT PROSPECT,IL,,600563219,IL09,8554255797,2084416697
EXECUTIVE SYSTEMS WEST INC,0,,,2012-10-18 00:00:00,2008-10-15 00:00:00,15702 E EASTMAN PL,,AURORA,CO,,800131702,CO06,,
EMCOR PENGUIN MAINTENANCE & SERVICE,0,,,2014-06-10 00:00:00,2014-07-31 00:00:00,26 WEST ST,,BROOKLYN,NY,NEW YORK,11222,,7187062577,7187062596
DELL MARKETING L.P.,0,,,2014-09-03 00:00:00,2014-10-03 00:00:00,ONE DELL WAY,,ROUND ROCK,TX,,786820001,TX31,5127230669,5122834810
HERITAGE HOME GROUP  LLC,0,,,2016-09-15 00:00:00,2017-04-01 00:00:00,1925 EASTCHESTER DR,,HIGH POINT,NC,NORTH CAROLINA,272651404,6.0,3019491301,
COLEMAN  WAYNE,0,,,2013-12-20 00:00:00,2014-01-10 00:00:00,1213 VAN BUREN DR,,ANNAPOLIS,MD,,214032132,MD03,4102670629,
STATE OF WASHINGTON,0,,,2010-06-23 00:00:00,2013-09-30 00:00:00,2901 3RD AVE,,SEATTLE,WA,,981211012,WA07,2063898509,2065153969
PHONOSCOPE LIGHT WAVE  INC,0,,,2014-09-27 00:00:00,2019-09-26 00:00:00,6101 WESTLINE DR,,HOUSTON,TX,,770363515,TX09,8326157721,
ALARM AND ELECTRONICS SYSTEMS  LLC,0,,,2015-02-18 00:00:00,2015-03-31 00:00:00,13973 SW 140TH ST,,MIAMI,FL,,331865528,FL26,7863062514,
UNISOURCE WORLDWIDE  INC.,0,,,2015-10-13 00:00:00,2014-08-31 00:00:00,161 AVENUE OF THE AMERICA,,NEW YORK,NY,NEW YORK,100131205,10.0,,
SERVICE KING PAINT & BODY LLC,0,,,2013-05-01 00:00:00,2009-06-16 00:00:00,808 SOUTH CENTRAL EXPW,,RICHARDSON,TX,,750807413,TX32,9724001545,9729804266
"BARBRI ACQUISITION, INC.",0,,,2014-05-19 00:00:00,2014-02-15 00:00:00,"9400 NORTH CENTRAL EXP, STE 613",,DALLAS,TX,TEXAS,75231,,7865172733,
MINE SAFETY APPLIANCES COMPANY,0,,,2016-12-20 15:24:21,2011-10-01 00:00:00,121 GAMMA DR RIDC PARK,,PITTSBURGH,PA,PENNSYLVANIA,15238,4.0,,
"BMK VENTURES, INC",0,,,2015-04-15 00:00:00,2015-05-20 00:00:00,1112 JENSEN DR STE 1,,VIRGINIA BEACH,VA,VIRGINIA,23451,,7576525415,
THOMAS  VERKEICHER,0,,,2015-09-17 00:00:00,2016-07-07 00:00:00,5323 WINGATE DR,,NEW ORLEANS,LA,LOUISIANA,701223439,2.0,5042228786,
MODUS EPICURUS  INC.,0,,,2015-06-26 00:00:00,2016-07-16 00:00:00,200 S BISCAYNE BLVD STE 2790A,,MIAMI,FL,FLORIDA,331315324,24.0,3057149500,
COLD BOX EXPRESS LLC,0,,,2014-09-29 00:00:00,2018-09-29 00:00:00,996 N. BRINDLEE MTN. PKWY.,,ARAB,AL,ALABAMA,350161065,4.0,2565721769,
ENFORCETEC INC.,0,,,2015-04-29 00:00:00,2015-05-29 00:00:00,9900 STIRLING RD STE 223,,HOLLYWOOD,FL,FLORIDA,33024,,9548704700,
IRP ASSOCIATION LLC,0,,,2014-08-21 00:00:00,2014-09-19 00:00:00,1826 B PORTSMOUTH ST,,HOUSTON,TX,TEXAS,770984313,2.0,7169974352,8666127857
VB SYSTEMS LLC,0,,,2016-08-15 09:37:28,2016-11-15 00:00:00,14522 BELLA TERRA WAY,,EDMOND,OK,OKLAHOMA,730342268,3.0,4053414034,
FACILITY MAINTENANCE CORP,0,,,2015-07-08 00:00:00,2020-06-30 00:00:00,3899 SOUTH MAINT ST,,WINSTON SALEM,NC,NORTH CAROLINA,27127,12.0,3362871710,3368581610
PREHISTORIC PLANET  LLC,0,,,2016-09-21 14:11:13,2016-10-07 00:00:00,10 PINE ST,,BARRACKVILLE,WV,WEST VIRGINIA,26559,1.0,3042822306,
QUALTA CONSULTING LLC,0,,,2015-07-27 00:00:00,2016-07-26 00:00:00,7411 W CLEARWATER AVE,,KENNEWICK,WA,WASHINGTON,99336,,5098203100,5098203110
GAMING LABORATORIES INTERNATIONAL LLC,0,,,2015-01-20 00:00:00,2015-04-10 00:00:00,600 AIRPORT RD,,LAKEWOOD,NJ,NEW JERSEY,087015995,4.0,7329423999,7327191475
MP ITEMS  LLC,0,,,2017-03-31 00:00:00,2017-05-01 00:00:00,2509 E 5TH ST,,MONTGOMERY,AL,ALABAMA,361073105,2.0,2059947358,
CSC GOVERNMENT SOLUTIONS LLC,0,,,2016-01-01 00:00:00,2020-12-31 00:00:00,3170 FAIRVIEW PARK DR,,FALLS CHURCH,VA,VIRGINIA,220424516,11.0,7038761243,
BSN SPORTS  LLC,0,,,2017-02-06 00:00:00,2017-03-08 00:00:00,1901 DIPLOMAT DR,,FARMERS BRANCH,TX,TEXAS,752348914,24.0,9724067180,9728847463
PHOENIX NEWSPAPERS  INC.,0,,,2016-09-23 00:00:00,2017-09-23 00:00:00,200 E VAN BUREN ST,,PHOENIX,AZ,ARIZONA,850042238,7.0,6022622846,6022622835
HOUSTON FIRST MOVERS,0,,,2016-05-18 08:43:12,2016-09-30 00:00:00,5929 QUEENS LOCH DR UNIT 132,,HOUSTON,TX,TEXAS,770963862,7.0,8324058082,
THE SINCLAIR COMPANIES,0,,,2011-08-23 00:00:00,2011-09-29 00:00:00,1055 2ND AVE,,SAN DIEGO,CA,,921014811,CA53,6195573755.0,6195573604.0
"BRIGADE QUARTERMASTERS, LTD.",0,,,2012-10-19 00:00:00,2012-10-19 00:00:00,1025 COBB INTERNATIONAL D,,KENNESAW,GA,,301524360,GA11,,
OPTOELECTRONICS INC,0,,,2011-08-01 00:00:00,2011-11-30 00:00:00,160 W CAMINO REAL,,BOCA RATON,FL,,334325942,FL22,9546428997.0,9546363533.0
DEL GUATU INC,0,,,2016-08-09 00:00:00,2016-08-10 00:00:00,CALLE GRANATE #24 VILLA BLANCA,,CAGUAS,PR,PUERTO RICO,007252052,0.0,7874108049,
CA  INC.,0,,,2010-04-07 00:00:00,2013-09-30 00:00:00,2291 WOOD OAK DR,,HERNDON,VA,,201712823,VA11,,
CLAYTON  DUBILIER & RICE  INC.,0,,,2013-03-11 00:00:00,2013-03-11 00:00:00,345 INVERNECO DR S STE 110,,ENGLEWOOD,CO,,801125906,CO06,8004247060,7208759183
HASEBE  TSUGUMI,0,,,2017-01-30 10:50:55,2017-02-28 00:00:00,4527 AUKAI AVE,,HONOLULU,HI,HAWAII,968164922,1.0,8082204162,
ELLIPTIC INC.,0,,,2017-08-08 15:35:55,2017-11-07 00:00:00,3100 CLARENDON BLVD STE 200,,ARLINGTON,VA,VIRGINIA,222015330,8.0,9173101653,
HUITT - ZOLLARS  INC.,0,,,2010-09-09 00:00:00,2011-06-01 00:00:00,500 W 7TH ST STE 300,,FORT WORTH,TX,,761024706,TX12,,
BBOX HOLDING COMPANY,0,,,2012-05-11 00:00:00,2012-06-10 00:00:00,1625 WALLACE DR STE 120,,CARROLLTON,TX,,750066654,TX24,2142613269,2142613267
SAMY'S CAMERA INC.,0,,,2013-11-21 00:00:00,2013-07-17 00:00:00,431 S FAIRFAX AVE,,LOS ANGELES,CA,,900363123,CA33,3105912248,3236920750
FULCRUM INTERNATIONAL  INC.,0,,,2012-11-13 00:00:00,2009-02-06 00:00:00,8520 RAINSWOOD DR,,LANDOVER,MD,,207852322,MD04,3013227700,3013222416
DAVIDSON HOTEL COMPANY,0,,,2014-09-09 00:00:00,2014-09-09 00:00:00,3342 PEACHTREE RD NE,,ATLANTA,GA,,303261024,GA11,9017614664,9017614105
COMMERCIAL AIR CONDITIONING  INC.,0,,,2010-09-21 00:00:00,2010-10-24 00:00:00,1616 CHERRYWOOD LN,,LONGWOOD,FL,,327503453,FL07,4073398559,4078307049
STEVENS COUNTY,0,,,2009-07-21 00:00:00,2015-04-30 00:00:00,215 S OAK ST RM 108,,COLVILLE,WA,,991142862,WA05,5096852836,5096847588
A D L ASSOCIATES INC,0,,,2011-09-22 00:00:00,2012-09-22 00:00:00,1111 HOLY GRAIL DR,,LEWISVILLE,TX,,750565745,TX24,9728993411,9726620978
BOOTSIES CLEANING SVC INC,0,,,2010-07-02 00:00:00,2015-11-30 00:00:00,2-2 ESTATE DOROTHEA,,CHARLOTTE AMALIE,VI,VIRGIN ISLANDS,00802,,3407775096,
"MMG TECHNOLOGY GROUP, INC.",0,,,2014-09-18 00:00:00,2015-05-10 00:00:00,2551 DEL MONTE ST,,WEST SACRAMENTO,CA,CALIFORNIA,95691,,,
HOFFMAN VIDEO SYSTEMS,0,,,2011-09-29 00:00:00,2009-10-29 00:00:00,1049 FLOWER ST,,GLENDALE,CA,,912013014,CA29,,
COUNTY OF MADISON,0,,,2011-03-01 00:00:00,2013-06-30 00:00:00,145 E MAIN ST,,REXBURG,ID,,834401911,ID02,2083565426,2083567640
TAKE CHARGE CONSULTANTS INC,0,,,2011-09-30 00:00:00,2009-09-15 00:00:00,2455 STRASBURG RD,,COATESVILLE,PA,,193204339,PA16,6103800970.0,6103800972.0
CHARTER COMMUNICATIONS  INC.,0,,,2013-03-14 00:00:00,2013-02-28 00:00:00,4031 VIA ORO AVE,,LONG BEACH,CA,,908101458,CA47,3109714230,3109714256
"MAXIMUS, INC.",0,,,2015-09-29 00:00:00,2013-09-24 00:00:00,3130 FAIRVIEW PARK DR STE 800,,FALLS CHURCH,VA,VIRGINIA,22042,,7037124000,7037124010
CHEROKEE CHAINLINK & CONSTRUCTION  INC.,0,,,2010-10-07 00:00:00,2011-08-15 00:00:00,34345 STOWE RD,,HEMET,CA,,925459740,CA45,9519265512.0,9519265514.0
DISCOVER GROUP  INC,0,,,2010-08-24 00:00:00,2017-09-17 00:00:00,2741 W 23RD ST,,BROOKLYN,NY,NEW YORK,112242338,8.0,7185328115,3054892395
COUNTY OF SUMMIT,0,,,2011-05-25 00:00:00,2009-09-30 00:00:00,501 N PARK AVE,,BRECKENRIDGE,CO,,804240000,CO00,,
TRI-STATE CAMERA EXCH. INC.,0,,,2010-04-08 00:00:00,2013-03-11 00:00:00,150 SULLIVAN ST,,BROOKLYN,NY,,112311113,NY07,3474177121,3474177094
PRO SOUND  INC.,0,,,2014-02-13 00:00:00,2015-02-11 00:00:00,1375 NE 123RD ST,,MIAMI,FL,,331616525,FL24,3058911000,3058913000
ST NET  INC.,0,,,2011-07-19 00:00:00,2011-08-19 00:00:00,1010 ROCKVILLE PIKE STE 207,,ROCKVILLE,MD,,208521419,MD08,3018406905.0,3019775362.0
PHILADELPHIA PROTECTION BUREAU  INC.,0,,,2014-09-22 00:00:00,2014-10-22 00:00:00,197 PHILIPS RD,,EXTON,PA,,193411337,PA06,6109034908,6109034915
PR HOTEL  LLC,0,,,2011-08-08 00:00:00,2011-09-08 00:00:00,10600 E CRESCENT MOON DR,,SCOTTSDALE,AZ,ARIZONA,852628342,6.0,4805135024,4805155599
INTER-PACIFIC  INC.,0,,,2010-09-22 00:00:00,2014-08-10 00:00:00,1278 BARCLAY BLVD,,BUFFALO GROVE,IL,ILLINOIS,600894500,10.0,8478082100,8478082103
S. S. P. INC.,0,,,2011-03-07 00:00:00,2011-04-30 00:00:00,2895 S 300 W,,SALT LAKE CITY,UT,,841153435,UT02,8009520151,8014930158
COUNTY OF EAGLE,0,,,2010-03-02 00:00:00,2011-03-01 00:00:00,500 BROADWAY,,EAGLE,CO,,816310850,CO02,9703288613.0,9703288629.0
VALLEY DISTRIBUTORS INC,0,,,2010-06-24 00:00:00,2010-07-22 00:00:00,182 RIDGE RD STE C,,DAYTON,NJ,,088101594,NJ12,7035278824.0,7323291034.0
WILLIAM RODRIGUEZ CORTES,0,,,2012-06-19 00:00:00,2012-07-09 00:00:00,BO BUCARABONES CARR 819 KM 1 HM 1,CALLE 14,TOA ALTA,PR,,009535226,PR00,7876458212,7877802332
RYCOM INC,0,,,2010-08-23 00:00:00,2012-12-21 00:00:00,9805 LAKE GEORGIA DR FL 2,,ORLANDO,FL,FLORIDA,32817,,,
CHOICE SHEETMETAL LLC,0,,,2015-12-04 00:00:00,2016-01-09 00:00:00,94-058 LEOKANE ST,,WAIPAHU,HI,HAWAII,967972206,1.0,8086713422,8086775422
AGILENT TECHNOLOGIES  INC.,0,,,2012-07-03 00:00:00,2017-07-14 00:00:00,5301 STEVENS CREEK BLVD,,SANTA CLARA,CA,,950517201,CA17,8008294444,8008294433
GC&E SYSTEMS GROUP  INC.,0,,,2011-06-14 00:00:00,2011-07-14 00:00:00,5835 PEACHTREE CORNERS E STE A,,NORCROSS,GA,,300923413,GA07,7704483908,7704483918
LMC COMPLETE AUTOMOTIVE  INC,0,,,2009-12-11 00:00:00,2010-01-11 00:00:00,23018 ALDINE WESTFIELD RD,,SPRING,TX,,773736561,TX02,2816517766.0,2816510966.0
COUNTY OF SENECA,0,,,2010-04-29 00:00:00,2018-06-30 00:00:00,1 DIPRONIO DR,,WATERLOO,NY,NEW YORK,131651680,23.0,3155391705,3155391635
INTERIOR RESOURCE GROUP INC,0,,,2010-09-27 00:00:00,2016-11-20 00:00:00,11095 HIDDEN TRAIL DR,,OWINGS MILLS,MD,MARYLAND,211172357,3.0,4106543611,4106543613
BRIX CORPORATION,0,,,2011-04-06 00:00:00,2013-06-30 00:00:00,2990 W GRAND BLVD STE M17,,DETROIT,MI,,482023041,MI13,3139650000,3139650253
INDEPENDENT STATIONERS INC,0,,,2011-08-18 00:00:00,2013-08-31 00:00:00,250 E 96TH ST STE 510,,INDIANAPOLIS,IN,,462403730,IN05,3178459155.0,3175858762.0
AUTO TRUCK  INC.,0,,,2010-08-26 00:00:00,2010-10-10 00:00:00,1420 BREWSTER CREEK BLVD,,BARTLETT,IL,,601031695,IL14,6308605600,6308605631
ALPHA SUM BUSINESS MACHINES,0,,,2010-09-28 00:00:00,2011-10-11 00:00:00,3327 91ST ST,,JACKSON HEIGHTS,NY,,113721748,NY07,,
CROSSROADS DIVERSIFIED SERVICES  INC.,0,,,2013-04-01 00:00:00,2013-09-30 00:00:00,9300 TECH CENTER DR STE 100,,SACRAMENTO,CA,,958262590,CA07,9168702055,91654685159
NAFSA ASSOCIATION OF INTERNATIONAL EDUCATORS,0,,,2011-05-30 00:00:00,2013-05-31 00:00:00,1307 NEW YORK AVE NW FL 8,,WASHINGTON,DC,,200054704,DC00,2027373699,2027373657
COUNTY OF GRANT,0,,,2010-09-15 00:00:00,2012-09-14 00:00:00,205 S HUMBOLT,,CANYON CITY,OR,,978206115,OR02,5415751798.0,5415752248.0
A C.H. COAKLEY & CO.  INC.,0,,,2014-06-12 00:00:00,2014-07-25 00:00:00,2151 N DOCTOR MARTIN LUTHER KING DR,,MILWAUKEE,WI,,532123101,WI04,4143727000,4143727004
COUNTY OF LAKE,0,,,2010-01-15 00:00:00,2011-12-31 00:00:00,106 4TH AVE E,,POLSON,MT,,598602133,MT00,4068837279,4068837305
KIMBER MFG.  INC.,0,,,2010-06-15 00:00:00,2010-08-06 00:00:00,1 LAWTON ST,,YONKERS,NY,,107052617,NY17,9149640771.0,9149649340.0
CROSSTOWN COURIER SERVICE  INC.,0,,,2010-08-18 00:00:00,2016-01-17 00:00:00,165 FRONT ST,,CHICOPEE,MA,MASSACHUSETTS,010132869,1.0,4135947900,4135946107
PIONEER & CO (INC),0,,,2010-06-07 00:00:00,2011-04-14 00:00:00,97 FOSTER RD STE 5,,MOORESTOWN,NJ,,080571154,NJ03,,
FISHER HAWAII INC.,0,,,2014-05-12 00:00:00,2014-06-12 00:00:00,450 COOKE ST,,HONOLULU,HI,,968135321,HI01,8085248770,8086875239
TRUHART SYSTEMS INTERNATIONAL  L.L.C.,0,,,2011-07-22 00:00:00,2008-06-30 00:00:00,8070 GEORGIA AVE STE #311,,SILVER SPRING,MD,,209104977,MD08,,
ALL FOAM PRODUCTS  CO.,0,,,2013-03-14 00:00:00,2008-05-16 00:00:00,2546 LIVE OAK LN,,BUFFALO GROVE,IL,,600894609,IL10,8479139341,8479130731
COMPREHENSIVE HEALTH SERVICES  INC.,0,,,2010-04-01 00:00:00,2012-06-19 00:00:00,10701 PARKRIDGE BLVD STE 200,,RESTON,VA,,201914357,VA08,3217832720,3217831440
CARPET PLUS  LLC,0,,,2012-08-27 00:00:00,2012-11-15 00:00:00,801 WINCREST PL,,GREAT FALLS,VA,,220661628,VA10,7037577605.0,7037577606.0
"ELLENBERG, MARTIN ESQ",0,,,2011-01-13 00:00:00,2015-01-12 00:00:00,244 ALBEMARLE RD,,WHITE PLAINS,NY,NEW YORK,10605,,9149464927,9149461266
DTRS ST. FRANCIS  L.L.C.,0,,,2016-11-03 15:09:49,2011-06-23 00:00:00,335 POWELL ST,,SAN FRANCISCO,CA,CALIFORNIA,941021804,12.0,4157740210,4154036884
LYMAN PRODUCTS CORPORATION,0,,,2010-05-04 00:00:00,2011-12-26 00:00:00,475 SMITH ST,,MIDDLETOWN,CT,,064571529,CT03,8606322020.0,8606321699.0
GLOBAL TOTAL OFFICE SOLUTIONS  INC,0,,,2012-09-19 00:00:00,2012-10-19 00:00:00,3850 GLADERIDGE DR # A,,HOUSTON,TX,TEXAS,770682421,18.0,2816310763,2814409738
THE ACADEMY OF SOUTH FLORIDA INC,0,,,2010-06-08 00:00:00,2012-06-25 00:00:00,3100 S DIXIE HWY STE 100,,MIAMI,FL,,331333606,FL18,3056482000,3056482012
BLACKWATER TARGET SYSTEMS LLC,0,,,2010-07-21 00:00:00,2010-07-21 00:00:00,850 PUDDIN RIDGE RD,,MOYOCK,NC,,279588679,NC03,2524350098,2524356388
W D I COMPANIES  INC,0,,,2016-07-12 09:28:05,2016-08-11 00:00:00,2627 KILIHAU ST,,HONOLULU,HI,HAWAII,968192336,1.0,8088330693,8088336751
FRONT STREET DEVELOPMENT ASSOCIATES LIMI,0,,,2013-03-07 00:00:00,2013-09-30 00:00:00,111 S INDEPENDENCE MALL E # 100,,PHILADELPHIA,PA,,191062515,PA01,,
TEAM FOUR INC,0,,,2011-06-23 00:00:00,2013-12-31 00:00:00,14 N NEWSTEAD AVE,,SAINT LOUIS,MO,,631082208,MO01,,
HARRISON EQUIPMENT COMPANY  INC.,0,,,2012-11-21 00:00:00,2012-11-21 00:00:00,8230 S 192 ST,,KENT,WA,,980321195,WA09,4252515700,4252519572
ALWAYS PROFESSIONAL MOVING,0,,,2016-12-29 00:00:00,2017-02-28 00:00:00,815 ELIZABETH AVE,,ELIZABETH,NJ,NEW JERSEY,072012749,8.0,9084098555,
INTER-COUNTY COMMUNICATIONS  INC.,0,,,2010-09-15 00:00:00,2010-12-01 00:00:00,222 LINDA DR,,SULPHUR SPRINGS,TX,,754824355,TX04,9038853101,9038853102
COUNTY OF OTSEGO,0,,,2011-03-09 00:00:00,2014-03-12 00:00:00,197 MAIN ST,,COOPERSTOWN,NY,,133261128,NY19,6075442600,6075442716
I L M CORPORATION,0,,,2010-05-19 00:00:00,2011-12-31 00:00:00,216 INDUSTRIAL CT,,FREDERICKSBURG,VA,,224082442,VA01,,
KING STREET STATION HOTEL ASSOCIATES LP,0,,,2011-01-14 00:00:00,2011-02-25 00:00:00,1900 DIAGONAL RD,,ALEXANDRIA,VA,,223142810,VA08,7036845900,7036840653
CAR MEDICS BODY SHOP ACC INC,0,,,2012-10-23 00:00:00,2008-06-13 00:00:00,4105 N 21ST ST,,PHOENIX,AZ,,850166170,AZ03,,
TIERNEY BROTHERS  INC.,0,,,2011-01-07 00:00:00,2011-09-07 00:00:00,3300 UNIVERSITY AVE SE,,MINNEAPOLIS,MN,,554143326,MN05,,
TECHNOSOURCE INFORMATION SYSTEMS  LLC,0,,,2012-05-08 00:00:00,2012-06-08 00:00:00,1717 K ST NW STE 600,,WASHINGTON,DC,,200365346,DC00,,
LDV  INC.,0,,,2011-09-26 00:00:00,2012-10-11 00:00:00,180 INDUSTRIAL DR,,BURLINGTON,WI,WISCONSIN,531052307,1.0,,
WATERS MOVING & STORAGE  INC.,0,,,2013-04-01 00:00:00,2013-06-30 00:00:00,37 BRIDGEHEAD RD,,MARTINEZ,CA,,945531122,CA05,9253720914,9252287831
DUBOIS CONSTRUCTION  INC.,0,,,2009-10-07 00:00:00,2014-10-10 00:00:00,51 BRINKWOOD RD,,BROOKEVILLE,MD,,208332300,MD03,3017747643,3015708087
CARIBBEAN CONSOLIDATED SCHOOLS INC,0,,,2011-10-24 00:00:00,2013-01-17 00:00:00,CALLE CASTILLO,,SAN JUAN,PR,PUERTO RICO,00918,,,
BONNIN ELECTRONICS INC.,0,,,2015-09-22 00:00:00,2015-11-22 00:00:00,617 CALLE HIPODROMO,,SAN JUAN,PR,PUERTO RICO,00909,,7877254765,7877250840
BALDWIN SCHOOL OF PUERTO RICO INC  THE,0,,,2011-10-25 00:00:00,2011-11-04 00:00:00,RD 833 LOS FILTROS KM 13 HM 1,,GUAYNABO,PR,,009690000,PR00,7877202421.0,7877900619.0
CUPEYVILLE SCHOOL INC,0,,,2013-01-18 00:00:00,2013-01-18 00:00:00,RD 844 KM 0.4 CUPEY BAJO,,SAN JUAN,PR,,009260000,PR00,,
AUDAX GROUP  L.P.,0,,,2009-10-15 00:00:00,2007-07-17 00:00:00,4 BONAZZOLI AVE,,HUDSON,MA,,017492849,MA05,,
550 CORPORATE CENTER INVESTMENT GROUP INC,0,,,2011-04-15 00:00:00,2011-08-15 00:00:00,550 W C ST # 690,,SAN DIEGO,CA,,921013531,CA53,6196968310,6192322462
FOUR POINTS COMMUNICATION SERVICES  INC.,0,,,2013-04-17 00:00:00,2009-09-22 00:00:00,30 GERBER INDUSTRIAL DR,,SAINT PETERS,MO,,633761075,MO03,6362783727,6363973050
QUALITY ELECTRIC SUPPLY INC,0,,,2014-09-02 00:00:00,2015-01-31 00:00:00,6703 PETERS REST ST CROIX,,CHRISTIANSTED,VI,VIRGIN ISLANDS OF THE U.S.,00820,0.0,3407734630,3407787653
WIMAT ENTERPRISES INC,0,,,2011-09-09 00:00:00,2011-10-09 00:00:00,"CARR 2 KM 6.2 ,#233 VILLA CAPARRA",,GUAYNABO,PR,PUERTO RICO,00966,,7877818055.0,7877821065.0
TACTICAL COMMAND INDUSTRIES  INC,0,,,2010-09-16 00:00:00,2013-10-24 00:00:00,2101 W 10TH ST STE G,,ANTIOCH,CA,,945097909,CA11,6034188705,8662559414
PHASE ONE CONSULTING GROUP  INC.,0,,,2010-05-26 00:00:00,2011-07-15 00:00:00,700 N FAIRFAX ST STE 505,,ALEXANDRIA,VA,,223141749,VA08,,
CRYSTAL DIGITAL COMMUNICATIONS  INC.,0,,,2010-09-28 00:00:00,2010-11-05 00:00:00,410 CENTRAL AVE,,BUTNER,NC,,275091916,NC13,9195754600.0,9195754633.0
GLASSTRA ALUMINUM INC,0,,,2013-05-21 00:00:00,2013-08-02 00:00:00,4 ST A7 LAS PALMS INDUSTRIAL,,CATANO,PR,,009620000,PR00,7877885658,7877885070
GARCIA TRUCKING SERVICES INC,0,,,2013-01-29 00:00:00,2008-09-04 00:00:00,24B RES SABANA ABAJO,,CAROLINA,PR,,009823717,PR00,,
DORADO ACADEMY INC,0,,,2011-09-29 00:00:00,2013-01-28 00:00:00,606 MADRE PERLA ST DORADO DEL MAR,,DORADO,PR,,006460000,PR00,,
